kcet,college
15.047,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)"
15.04,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana"
14.78,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur"
14.16,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
13.568,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara"
13.4837178,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Ye"
13.4337001,"G.M.Vedak Institute of Technology, Tala, Raigad."
12.49,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani"
9.34,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon."
9.28,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur."
7.06,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur"
6.7043346,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur"
6.65,International Centre Of Excellence In Engineering and Management (ICEEM)
5.391879,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj"
4.704,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai"
4.5106,"Shri. Balasaheb Mane Shikshan Prasarak Mandal's, Ashokrao Mane Group of Institutions"
4.5106,"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur"
2.93,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima"
2.9210735,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha."
2.9,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur"
2.3294371,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa"
0.37,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha"
0.2637826,Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara
0.236,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile"
